Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757727086,2025-09-13T01:31:26Z,CPA410,"22.314663,113.927658",0,2,230
1757727109,2025-09-13T01:31:49Z,CPA410,"22.314816,113.927864",0,3,247
1757727138,2025-09-13T01:32:18Z,CPA410,"22.314932,113.928108",0,0,253
1757727326,2025-09-13T01:35:26Z,CPA410,"22.31488,113.927887",0,4,255
1757727336,2025-09-13T01:35:36Z,CPA410,"22.314926,113.927658",0,5,272
1757727345,2025-09-13T01:35:45Z,CPA410,"22.315018,113.927437",0,6,286
1757727356,2025-09-13T01:35:56Z,CPA410,"22.315165,113.927094",0,7,295
1757727367,2025-09-13T01:36:07Z,CPA410,"22.315327,113.92672",0,0,295
1757727373,2025-09-13T01:36:13Z,CPA410,"22.315443,113.926483",0,9,295
1757727383,2025-09-13T01:36:23Z,CPA410,"22.31567,113.925987",0,11,295
1757727393,2025-09-13T01:36:33Z,CPA410,"22.315887,113.925499",0,11,295
1757727401,2025-09-13T01:36:41Z,CPA410,"22.316059,113.925117",0,11,295
1757727414,2025-09-13T01:36:54Z,CPA410,"22.316399,113.924576",0,10,312
1757727427,2025-09-13T01:37:07Z,CPA410,"22.31698,113.924347",0,10,340
1757727435,2025-09-13T01:37:15Z,CPA410,"22.317249,113.924225",0,9,337
1757727439,2025-09-13T01:37:19Z,CPA410,"22.317387,113.923988",0,9,309
1757727445,2025-09-13T01:37:25Z,CPA410,"22.317398,113.923737",0,9,281
1757727452,2025-09-13T01:37:32Z,CPA410,"22.317341,113.923515",0,9,261
1757727461,2025-09-13T01:37:41Z,CPA410,"22.317169,113.923027",0,10,250
1757727465,2025-09-13T01:37:45Z,CPA410,"22.317101,113.922813",0,10,250
1757727471,2025-09-13T01:37:51Z,CPA410,"22.31702,113.922554",0,11,250
1757727480,2025-09-13T01:38:00Z,CPA410,"22.316841,113.922005",0,0,250
1757727493,2025-09-13T01:38:13Z,CPA410,"22.316572,113.92115",0,15,250
1757727499,2025-09-13T01:38:19Z,CPA410,"22.316402,113.920631",0,17,250
1757727506,2025-09-13T01:38:26Z,CPA410,"22.316254,113.920174",0,17,250
1757727514,2025-09-13T01:38:34Z,CPA410,"22.316013,113.919434",0,19,250
1757727521,2025-09-13T01:38:41Z,CPA410,"22.315769,113.918701",0,20,250
1757727527,2025-09-13T01:38:47Z,CPA410,"22.315607,113.918167",0,20,250
1757727535,2025-09-13T01:38:55Z,CPA410,"22.315363,113.917389",0,21,250
1757727543,2025-09-13T01:39:03Z,CPA410,"22.315083,113.916527",0,21,250
1757727550,2025-09-13T01:39:10Z,CPA410,"22.314838,113.915802",0,22,250
1757727565,2025-09-13T01:39:25Z,CPA410,"22.314285,113.914063",0,24,250
1757727573,2025-09-13T01:39:33Z,CPA410,"22.313978,113.913116",0,0,250
1757727580,2025-09-13T01:39:40Z,CPA410,"22.313686,113.912224",0,25,250
1757727593,2025-09-13T01:39:53Z,CPA410,"22.313267,113.910904",0,19,250
1757727599,2025-09-13T01:39:59Z,CPA410,"22.313093,113.910355",0,16,250
1757727612,2025-09-13T01:40:12Z,CPA410,"22.312838,113.909554",0,13,250
1757727618,2025-09-13T01:40:18Z,CPA410,"22.312721,113.90921",0,13,250
1757727626,2025-09-13T01:40:26Z,CPA410,"22.312569,113.90873",0,14,250
1757727632,2025-09-13T01:40:32Z,CPA410,"22.312407,113.908249",0,15,250
1757727640,2025-09-13T01:40:40Z,CPA410,"22.31222,113.907661",0,15,250
1757727647,2025-09-13T01:40:47Z,CPA410,"22.312031,113.907089",0,16,250
1757727659,2025-09-13T01:40:59Z,CPA410,"22.311756,113.906212",0,0,250
1757727666,2025-09-13T01:41:06Z,CPA410,"22.311516,113.905487",0,17,250
1757727674,2025-09-13T01:41:14Z,CPA410,"22.311321,113.904854",0,16,250
1757727682,2025-09-13T01:41:22Z,CPA410,"22.31115,113.90432",0,16,250
1757727689,2025-09-13T01:41:29Z,CPA410,"22.310944,113.903702",0,16,250
1757727704,2025-09-13T01:41:44Z,CPA410,"22.310591,113.902611",0,15,250
1757727711,2025-09-13T01:41:51Z,CPA410,"22.310417,113.902054",0,16,250
1757727717,2025-09-13T01:41:57Z,CPA410,"22.310253,113.901558",0,15,250
1757727724,2025-09-13T01:42:04Z,CPA410,"22.310114,113.901138",0,13,250
1757727732,2025-09-13T01:42:12Z,CPA410,"22.310017,113.900833",0,6,250
1757727755,2025-09-13T01:42:35Z,CPA410,"22.309948,113.900597",0,2,250
1757727767,2025-09-13T01:42:47Z,CPA410,"22.309881,113.900391",0,4,250
1757727777,2025-09-13T01:42:57Z,CPA410,"22.309811,113.900169",0,5,250
1757727822,2025-09-13T01:43:42Z,CPA410,"22.309742,113.899956",0,2,250
1757727835,2025-09-13T01:43:55Z,CPA410,"22.309662,113.899734",0,5,250
1757727843,2025-09-13T01:44:03Z,CPA410,"22.309593,113.899521",0,6,250
1757727852,2025-09-13T01:44:12Z,CPA410,"22.309532,113.899292",0,6,253
1757727862,2025-09-13T01:44:22Z,CPA410,"22.309639,113.899048",0,5,286
1757727871,2025-09-13T01:44:31Z,CPA410,"22.309845,113.898964",0,5,323
1757727880,2025-09-13T01:44:40Z,CPA410,"22.310066,113.898911",0,6,337
1757727887,2025-09-13T01:44:47Z,CPA410,"22.310299,113.898827",0,8,340
1757727894,2025-09-13T01:44:54Z,CPA410,"22.310556,113.898735",0,9,340
1757727900,2025-09-13T01:45:00Z,CPA410,"22.310795,113.898643",0,8,343
1757727910,2025-09-13T01:45:10Z,CPA410,"22.311069,113.898682",0,6,5
1757727922,2025-09-13T01:45:22Z,CPA410,"22.311255,113.898911",0,5,42
1757727930,2025-09-13T01:45:30Z,CPA410,"22.311321,113.899132",0,6,61
1757727979,2025-09-13T01:46:19Z,CPA410,"22.311378,113.899345",0,0,70
1757727986,2025-09-13T01:46:26Z,CPA410,"22.311516,113.899773",0,16,70
1757727994,2025-09-13T01:46:34Z,CPA410,"22.311962,113.901169",0,48,70
1757728000,2025-09-13T01:46:40Z,CPA410,"22.312683,113.903404",0,78,70
1757728008,2025-09-13T01:46:48Z,CPA410,"22.313744,113.906609",75,107,71
1757728015,2025-09-13T01:46:55Z,CPA410,"22.315201,113.91114",50,122,70
1757728021,2025-09-13T01:47:01Z,CPA410,"22.316538,113.915405",75,157,70
1757728030,2025-09-13T01:47:10Z,CPA410,"22.318817,113.922432",100,179,70
1757728038,2025-09-13T01:47:18Z,CPA410,"22.32106,113.929474",350,179,71
1757728046,2025-09-13T01:47:26Z,CPA410,"22.323473,113.937126",625,184,71
1757728055,2025-09-13T01:47:35Z,CPA410,"22.325754,113.944038",925,185,70
1757728061,2025-09-13T01:47:41Z,CPA410,"22.32757,113.949738",1225,186,71
1757728069,2025-09-13T01:47:49Z,CPA410,"22.329895,113.956985",1525,187,70
1757728078,2025-09-13T01:47:58Z,CPA410,"22.332458,113.964424",1725,197,68
1757728082,2025-09-13T01:48:02Z,CPA410,"22.334135,113.968452",1825,204,65
1757728084,2025-09-13T01:48:04Z,CPA410,"22.335022,113.970367",1850,206,63
1757728086,2025-09-13T01:48:06Z,CPA410,"22.336075,113.972366",1900,210,61
1757728088,2025-09-13T01:48:08Z,CPA410,"22.337036,113.974113",1950,212,60
1757728090,2025-09-13T01:48:10Z,CPA410,"22.338091,113.975983",2000,214,58
1757728092,2025-09-13T01:48:12Z,CPA410,"22.339254,113.977913",2075,218,57
1757728094,2025-09-13T01:48:14Z,CPA410,"22.340424,113.979805",2125,219,56
1757728096,2025-09-13T01:48:16Z,CPA410,"22.341583,113.981682",2200,221,56
1757728098,2025-09-13T01:48:18Z,CPA410,"22.342934,113.983917",2300,222,56
1757728101,2025-09-13T01:48:21Z,CPA410,"22.343948,113.985504",2375,223,55
1757728103,2025-09-13T01:48:23Z,CPA410,"22.345213,113.98748",2500,223,55
1757728105,2025-09-13T01:48:25Z,CPA410,"22.346331,113.989204",2600,223,55
1757728107,2025-09-13T01:48:27Z,CPA410,"22.34761,113.991196",2700,222,55
1757728109,2025-09-13T01:48:29Z,CPA410,"22.348751,113.992973",2800,222,55
1757728111,2025-09-13T01:48:31Z,CPA410,"22.350266,113.995293",2925,222,55
1757728113,2025-09-13T01:48:33Z,CPA410,"22.351547,113.997337",3050,222,55
1757728115,2025-09-13T01:48:35Z,CPA410,"22.352522,113.998817",3125,222,55
1757728117,2025-09-13T01:48:37Z,CPA410,"22.353827,114.000854",3225,222,55
1757728126,2025-09-13T01:48:46Z,CPA410,"22.358854,114.008736",3675,223,55
1757728132,2025-09-13T01:48:52Z,CPA410,"22.362392,114.014229",3975,222,55
1757728140,2025-09-13T01:49:00Z,CPA410,"22.367466,114.022163",4375,224,55
1757728148,2025-09-13T01:49:08Z,CPA410,"22.372147,114.029549",4725,226,55
1757728157,2025-09-13T01:49:17Z,CPA410,"22.377274,114.037537",5100,228,55
1757728169,2025-09-13T01:49:29Z,CPA410,"22.384827,114.049522",5650,232,56
1757728184,2025-09-13T01:49:44Z,CPA410,"22.393799,114.063904",6300,232,56
1757728195,2025-09-13T01:49:55Z,CPA410,"22.399122,114.074913",6525,236,67
1757728197,2025-09-13T01:49:57Z,CPA410,"22.39975,114.077034",6575,238,71
1757728199,2025-09-13T01:49:59Z,CPA410,"22.400331,114.079948",6600,240,75
1757728201,2025-09-13T01:50:01Z,CPA410,"22.400703,114.082588",6625,244,79
1757728203,2025-09-13T01:50:03Z,CPA410,"22.400848,114.084526",6625,246,86
1757728205,2025-09-13T01:50:05Z,CPA410,"22.400797,114.087578",6650,249,90
1757728207,2025-09-13T01:50:07Z,CPA410,"22.400564,114.089966",6675,250,95
1757728209,2025-09-13T01:50:09Z,CPA410,"22.400116,114.093018",6725,253,99
1757728211,2025-09-13T01:50:11Z,CPA410,"22.399494,114.095558",6750,256,103
1757728214,2025-09-13T01:50:14Z,CPA410,"22.39888,114.09761",6775,258,107
1757728216,2025-09-13T01:50:16Z,CPA410,"22.397873,114.100555",6825,260,109
1757728218,2025-09-13T01:50:18Z,CPA410,"22.396887,114.103142",6875,261,111
1757728220,2025-09-13T01:50:20Z,CPA410,"22.395956,114.105629",6900,265,112
1757728222,2025-09-13T01:50:22Z,CPA410,"22.395025,114.10807",6950,268,112
1757728224,2025-09-13T01:50:24Z,CPA410,"22.393953,114.110817",6975,269,112
1757728226,2025-09-13T01:50:26Z,CPA410,"22.392838,114.113716",7025,272,112
1757728228,2025-09-13T01:50:28Z,CPA410,"22.391672,114.116615",7075,274,112
1757728231,2025-09-13T01:50:31Z,CPA410,"22.390882,114.118652",7125,275,112
1757728233,2025-09-13T01:50:33Z,CPA410,"22.389679,114.12178",7200,276,112
1757728235,2025-09-13T01:50:35Z,CPA410,"22.388834,114.123894",7250,277,112
1757728237,2025-09-13T01:50:37Z,CPA410,"22.387619,114.127022",7325,279,112
1757728239,2025-09-13T01:50:39Z,CPA410,"22.386786,114.129181",7375,279,113
1757728241,2025-09-13T01:50:41Z,CPA410,"22.385435,114.132538",7450,282,113
1757728256,2025-09-13T01:50:56Z,CPA410,"22.377522,114.151665",7725,296,114
1757728269,2025-09-13T01:51:09Z,CPA410,"22.369583,114.170372",8025,308,114
1757728284,2025-09-13T01:51:24Z,CPA410,"22.360611,114.191643",8475,316,114
1757728299,2025-09-13T01:51:39Z,CPA410,"22.351822,114.213219",9050,319,113
1757728311,2025-09-13T01:51:51Z,CPA410,"22.344469,114.231514",9550,321,113
1757728324,2025-09-13T01:52:04Z,CPA410,"22.336258,114.250275",10025,323,117
1757728328,2025-09-13T01:52:08Z,CPA410,"22.332598,114.256439",10200,324,123
1757728330,2025-09-13T01:52:10Z,CPA410,"22.331156,114.258522",10275,324,125
1757728333,2025-09-13T01:52:13Z,CPA410,"22.328875,114.261574",10350,325,128
1757728335,2025-09-13T01:52:15Z,CPA410,"22.326826,114.264168",10425,326,130
1757728337,2025-09-13T01:52:17Z,CPA410,"22.325476,114.265747",10500,326,132
1757728339,2025-09-13T01:52:19Z,CPA410,"22.322264,114.269157",10600,325,134
