Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757722577,2025-09-13T00:16:17Z,CPA526,"22.311243,113.927155",0,0,295
1757722690,2025-09-13T00:18:10Z,CPA526,"22.311138,113.927368",0,3,295
1757722707,2025-09-13T00:18:27Z,CPA526,"22.311033,113.927589",0,3,295
1757722725,2025-09-13T00:18:45Z,CPA526,"22.310869,113.927803",0,3,281
1757722742,2025-09-13T00:19:02Z,CPA526,"22.310703,113.928024",0,3,247
1757722758,2025-09-13T00:19:18Z,CPA526,"22.310692,113.928261",0,3,222
1757722779,2025-09-13T00:19:39Z,CPA526,"22.310812,113.928467",0,1,205
1757723020,2025-09-13T00:23:40Z,CPA526,"22.310577,113.92836",0,0,205
1757723039,2025-09-13T00:23:59Z,CPA526,"22.310349,113.928238",0,4,205
1757723054,2025-09-13T00:24:14Z,CPA526,"22.310148,113.928131",0,4,205
1757723071,2025-09-13T00:24:31Z,CPA526,"22.309742,113.92791",0,7,205
1757723082,2025-09-13T00:24:42Z,CPA526,"22.309439,113.92775",0,8,205
1757723088,2025-09-13T00:24:48Z,CPA526,"22.309195,113.927635",0,9,205
1757723096,2025-09-13T00:24:56Z,CPA526,"22.308895,113.927475",0,10,205
1757723103,2025-09-13T00:25:03Z,CPA526,"22.30862,113.927338",0,11,205
1757723108,2025-09-13T00:25:08Z,CPA526,"22.308403,113.927147",0,11,213
1757723113,2025-09-13T00:25:13Z,CPA526,"22.30825,113.926865",0,12,233
1757723117,2025-09-13T00:25:17Z,CPA526,"22.308208,113.926659",0,12,244
1757723121,2025-09-13T00:25:21Z,CPA526,"22.308151,113.926414",0,12,250
1757723125,2025-09-13T00:25:25Z,CPA526,"22.308077,113.926201",0,13,250
1757723129,2025-09-13T00:25:29Z,CPA526,"22.307991,113.925941",0,13,250
1757723132,2025-09-13T00:25:32Z,CPA526,"22.307926,113.925728",0,14,250
1757723140,2025-09-13T00:25:40Z,CPA526,"22.307774,113.925247",0,14,250
1757723147,2025-09-13T00:25:47Z,CPA526,"22.3076,113.924736",0,14,250
1757723155,2025-09-13T00:25:55Z,CPA526,"22.307453,113.924294",0,11,250
1757723161,2025-09-13T00:26:01Z,CPA526,"22.307373,113.924042",0,9,250
1757723169,2025-09-13T00:26:09Z,CPA526,"22.307327,113.92363",0,9,261
1757723177,2025-09-13T00:26:17Z,CPA526,"22.307556,113.923401",0,10,300
1757723182,2025-09-13T00:26:22Z,CPA526,"22.307808,113.923317",0,9,323
1757723188,2025-09-13T00:26:28Z,CPA526,"22.308014,113.923279",0,10,337
1757723193,2025-09-13T00:26:33Z,CPA526,"22.308254,113.923203",0,10,340
1757723197,2025-09-13T00:26:37Z,CPA526,"22.308472,113.923111",0,11,340
1757723202,2025-09-13T00:26:42Z,CPA526,"22.308693,113.923035",0,11,340
1757723210,2025-09-13T00:26:50Z,CPA526,"22.309078,113.922882",0,12,340
1757723216,2025-09-13T00:26:56Z,CPA526,"22.309433,113.922752",0,13,340
1757723223,2025-09-13T00:27:03Z,CPA526,"22.309834,113.922607",0,13,340
1757723230,2025-09-13T00:27:10Z,CPA526,"22.310234,113.922455",0,13,340
1757723238,2025-09-13T00:27:18Z,CPA526,"22.310658,113.922295",0,13,340
1757723244,2025-09-13T00:27:24Z,CPA526,"22.311022,113.922157",0,12,340
1757723252,2025-09-13T00:27:32Z,CPA526,"22.311417,113.92202",0,11,340
1757723258,2025-09-13T00:27:38Z,CPA526,"22.311745,113.92189",0,11,340
1757723265,2025-09-13T00:27:45Z,CPA526,"22.312065,113.921768",0,11,340
1757723273,2025-09-13T00:27:53Z,CPA526,"22.312431,113.921646",0,11,340
1757723280,2025-09-13T00:28:00Z,CPA526,"22.312775,113.921516",0,10,340
1757723287,2025-09-13T00:28:07Z,CPA526,"22.313082,113.921394",0,10,340
1757723294,2025-09-13T00:28:14Z,CPA526,"22.313419,113.92128",0,11,340
1757723302,2025-09-13T00:28:22Z,CPA526,"22.313793,113.921135",0,13,340
1757723313,2025-09-13T00:28:33Z,CPA526,"22.314423,113.920906",0,13,340
1757723319,2025-09-13T00:28:39Z,CPA526,"22.314793,113.920769",0,13,340
1757723327,2025-09-13T00:28:47Z,CPA526,"22.315224,113.920609",0,14,340
1757723335,2025-09-13T00:28:55Z,CPA526,"22.315664,113.920441",0,10,340
1757723346,2025-09-13T00:29:06Z,CPA526,"22.316107,113.920189",0,9,329
1757723355,2025-09-13T00:29:15Z,CPA526,"22.316151,113.919823",0,0,292
1757723360,2025-09-13T00:29:20Z,CPA526,"22.316093,113.919609",0,8,272
1757723366,2025-09-13T00:29:26Z,CPA526,"22.316002,113.919395",0,8,258
1757723373,2025-09-13T00:29:33Z,CPA526,"22.315908,113.919159",0,9,253
1757723378,2025-09-13T00:29:38Z,CPA526,"22.31584,113.91893",0,9,250
1757723383,2025-09-13T00:29:43Z,CPA526,"22.315769,113.918686",0,10,250
1757723388,2025-09-13T00:29:48Z,CPA526,"22.315687,113.918442",0,10,250
1757723397,2025-09-13T00:29:57Z,CPA526,"22.315567,113.918037",0,11,250
